case_id,fold,dice_WT,iou_WT,sens_WT,spec_WT,prec_WT,dice_TC,iou_TC,sens_TC,spec_TC,prec_TC,dice_ET,iou_ET,sens_ET,spec_ET,prec_ET,hd95_WT,hd95_TC,hd95_ET,dice_NCR,dice_ED,dice_ET_channel
BraTS20_Training_193,2,0.882222329821746,0.7892645857570731,0.9789236153751688,0.9913740279663558,0.8029084041548631,0.9468230108171334,0.8990160443514337,0.9104480386688976,0.9998154345302566,0.9862255069778681,0.90628669576038,0.8286327799500032,0.8642821327093432,0.9996549484071459,0.9525827131383097,30.93541717529297,2.0,1.4142135381698608,0.891873248544945,0.7916700324733025,0.90628669576038
BraTS20_Training_199,2,0.9429143744479914,0.8919943206640454,0.9978496462912507,0.9970164089826579,0.89371224722052,0.9310320887543565,0.8709635518146156,0.9025467075862812,0.9995918397029975,0.9613741289823072,0.8943989092696228,0.8089707189767416,0.8412262913038292,0.9995953130164527,0.9547469961076325,2.2360680103302,3.0,2.2360680103302,0.6445985238201745,0.8761016480259258,0.8943989092696228
BraTS20_Training_200,2,0.8972929292929293,0.813718305730617,0.9914728336086432,0.9969861837497836,0.8194531567100845,0.9033974621367171,0.8238148562896603,0.9463979416809606,0.9997888767880068,0.8641346906812842,0.8998298596341983,0.8179006379277015,0.9321436439744437,0.9998071368491819,0.8696813977389517,4.242640495300293,1.7320507764816284,1.4142135381698608,0.20652173913043478,0.8756892455283095,0.8998298596341983
BraTS20_Training_210,2,0.9281166574854867,0.8658746905313719,0.9975803604978195,0.9907797507216207,0.8676970159157761,0.9294803027594016,0.8682514718367688,0.9848444184834946,0.9971740366192494,0.8800095924614538,0.8873574503436297,0.7975224843034108,0.992335465889656,0.9961767113504646,0.8024655522734646,3.0,5.718267440795898,4.0,0.8423544375353307,0.8929287616292448,0.8873574503436297
BraTS20_Training_211,2,0.9209991250877992,0.8535666156551929,0.9317110872871426,0.997697128497345,0.9105306758929876,0.9669090850191937,0.9359380389451569,0.973420735087891,0.9996208258031128,0.9604839747715279,0.9169488458655363,0.8466348448687351,0.9394099888777078,0.9993634627625716,0.8955367060486721,3.0,1.4142135381698608,1.0,0.892243623112962,0.877758221214562,0.9169488458655363
BraTS20_Training_219,2,0.9037966270665448,0.8244789693065555,0.8446647169957815,0.9993904368171007,0.971830985915493,0.9599072781890863,0.9229054853088329,0.944426343960903,0.9998414383848869,0.9759041939207388,0.9284706393140129,0.8664910858995137,0.90633608815427,0.9997944415868352,0.9517133956386293,13.638181686401367,1.4142135381698608,1.0,0.8879628364530674,0.8489825481809194,0.9284706393140129
BraTS20_Training_223,2,0.9724570275491246,0.9463906168611509,0.9902087300791821,0.9977046355740181,0.9553305934969177,0.9621053887927433,0.9269779208831647,0.9775945183882606,0.9994618446030723,0.9470994272286679,0.9512116420896389,0.9069624342368396,0.9672539948157627,0.9993950655141659,0.9356927471829868,1.4142135381698608,1.4142135381698608,1.4142135381698608,0.8676179151803408,0.961001922003844,0.9512116420896389
BraTS20_Training_224,2,0.9515794967137988,0.9076315216376816,0.9854083631696278,0.9958047032302958,0.9199962158241619,0.9579512535122302,0.9192960086953795,0.9383307375562715,0.999369377682013,0.9784098240306112,0.9221060414026193,0.8554700896575376,0.8967235004108464,0.9990951543055815,0.9489673913043478,1.7320507764816284,1.7320507764816284,1.4142135381698608,0.9137202261952362,0.8453323138741348,0.9221060414026193
BraTS20_Training_234,2,0.9418376169142498,0.8900690782143653,0.9115493600593347,0.9987872138508015,0.9742078413040386,0.7357146523551789,0.5819213627095401,0.5872942162004662,0.9996818302479653,0.9845221559079878,0.7990045941807045,0.665285304430985,0.6960146740036685,0.9998313447848398,0.9377667939788812,2.2360680103302,9.643651008605957,14.866068840026855,0.7009537622781515,0.528200592239357,0.7990045941807045
BraTS20_Training_235,2,0.9626007280030124,0.9278980176552578,0.9556626674176681,0.9980874972402041,0.9696402652114763,0.9585864821713678,0.9204667173612644,0.9613164366716764,0.9983871948797394,0.9558719888597362,0.9089672319564657,0.8331255105989595,0.8930129662631352,0.9985710132215635,0.9255019344977471,2.8284270763397217,2.2360680103302,1.4142135381698608,0.936509123541729,0.8929438752102768,0.9089672319564657
